uid,digital_habits,general,physical_fitness,sleep,social_interaction
t0002@sreflect,17.0,20.0,14.0,2.0,19.0
t0003@sreflect,20.0,41.0,7.0,2.0,35.0
t0004@sreflect,23.0,54.0,16.0,18.0,24.0
t0005@sreflect,15.0,36.0,23.0,0.0,28.0
t0006@sreflect,30.0,52.0,17.0,12.0,33.0
t0007@sreflect,32.0,64.0,16.0,5.0,27.0
t0008@sreflect,19.0,51.0,20.0,23.0,19.0
t0009@sreflect,51.0,76.0,8.0,9.0,21.0
t0010@sreflect,48.0,60.0,13.0,7.0,16.0
t0011@sreflect,22.0,19.0,4.0,0.0,9.0
t0012@sreflect,27.0,25.0,12.0,7.0,7.0
t0013@sreflect,1.0,8.0,4.0,4.0,7.0
t0014@sreflect,13.0,12.0,8.0,2.0,16.0
t0015@sreflect,3.0,4.0,7.0,11.0,8.0
t0016@sreflect,19.0,73.0,24.0,1.0,27.0
t0017@sreflect,17.0,27.0,13.0,1.0,8.0
t0018@sreflect,6.0,15.0,6.0,20.0,16.0
t0019@sreflect,24.0,54.0,23.0,4.0,18.0
t0020@sreflect,19.0,43.0,18.0,9.0,13.0
t0022@sreflect,13.0,60.0,15.0,3.0,26.0
